episode,mean_loss,mean_td_error,mean_q_value,mean_entropy,mean_grad_norm,mean_param_change
1,nan,nan,nan,nan,nan,nan
2,1.248037338256836,1.1074223518371582,-0.03522323817014694,0.684721052646637,2.9401298837786527,0.10287601739266639
3,0.667965163787206,0.7749076724052429,0.3486065403868755,0.688312300046285,2.3183008890437202,0.08206358898963777
4,0.5698012175659338,0.6892997746666273,1.1510442793369293,0.6916110515594482,3.1393515772037053,0.07128447727592489
5,0.3750337632028041,0.34439265231291455,2.5563735454170793,0.6893563877653193,1.8027915521238809,0.04597329562780618
6,0.5097357840277255,0.44963905215263367,3.531947902270726,0.6896327946867261,3.846834288601103,0.05260320717881938
7,0.663345123330752,0.5889039610822996,3.9787731568018594,0.6907456119855245,5.449277595522198,0.050977962986923996
8,0.9142449342686197,0.5200211898140286,5.450356379799221,0.6802757822948954,4.7100832756523205,0.05861132214891495
9,0.903844477165313,0.550971799663135,6.122659433455694,0.681027542977106,5.123016646359445,0.048139615184059965
10,0.8999605666974495,0.5265291764818388,6.780136716776881,0.6640619512262016,5.346007560918515,0.04208847951774775
11,1.18755837281545,0.5987997386190627,7.692668226030138,0.6565487053659227,7.176318020340678,0.049715499471567934
12,1.349564919869105,0.7194284359614055,8.078754202524822,0.6507086475690206,8.147271550325593,0.04269820116236956
13,1.7670712883655841,0.752167855317776,9.299978843102089,0.6436824752734258,10.8517941109549,0.040268169739293994
14,2.0178776690736413,0.7422361178323627,10.548795998096466,0.6032104659825563,8.821613340606643,0.04060335437419797
15,2.0919851288199425,0.7219554670155048,11.390735030174255,0.5866654242078463,8.64357677367349,0.037643520802962974
16,3.0657845064997673,0.8785531483590603,12.116853654384613,0.5473408587276936,10.394336858826168,0.04268802390813998
17,3.0862532069043414,0.905668738411694,12.88163722433695,0.563154210404652,11.745070695557486,0.04049492565530803
18,2.661511159860171,0.7873818759734814,13.387126482450045,0.5783513463460482,10.955857010607126,0.031182357928968
19,2.7512865807070876,0.7886694832281633,14.181790785356002,0.5378398633364475,9.309212241312796,0.03274366769913146
20,3.0516458908716837,0.8611645638942719,14.989388783772787,0.5258632202943166,10.944464882231227,0.0375026472104237
21,2.7492321383953096,0.8314156746864318,15.746171989440917,0.5031089520454407,12.11103324146721,0.03426433315769028
22,3.4472956860065462,0.8884519982337952,16.9596720123291,0.4989005970954895,13.577768309702437,0.03655604594267392
23,5.1407619668887214,1.0006135518734272,18.298889013437126,0.5211571019429427,16.14933482923401,0.041192700888906746
24,4.532709159232952,1.0012421464478527,18.4343149750321,0.5260966707158972,12.718497373410449,0.033666689615532465
25,4.459396806028154,1.0367972950140636,19.000098122490776,0.5092191994190216,13.175902003555443,0.03396319331108207
26,4.910176617758615,1.106361140523638,19.31203727722168,0.48052651626723153,14.061949792305077,0.035720314411253146
27,4.31053149037891,1.0227779061705977,20.64673466152615,0.47271296161192433,15.408895059218807,0.03875711587872583
28,5.799320659854195,1.1486851302060215,21.07533246820623,0.47042068297212775,19.00886163704479,0.03691792707011398
29,5.3206731627384825,1.178718201816082,21.80151931444804,0.447056836138169,19.246271264275958,0.04253516013023468
30,5.7712101532241045,1.166003979868808,23.078297469575528,0.417675434027688,15.75791219270217,0.03646458012907777
31,6.537799431997187,1.248335417579202,23.55889948676614,0.4262864414383383,17.98519168686405,0.038709604807152465
32,5.143111517554836,1.2404949696440446,24.08365129169665,0.42061746904724523,18.22582948758444,0.03648310271249737
33,4.991845787957657,1.2089926489563876,24.66348022638365,0.3584405135276706,17.131992730791577,0.037128749522411186
34,4.151342736350165,1.1913445161448584,24.96215777926975,0.32272690700160134,20.419933461664133,0.03919223504204608
35,5.340326766173045,1.2785960932572682,25.58004903793335,0.32065533598264057,23.347544849822082,0.044746018527248695
36,4.496319449864901,1.188672301860956,25.564925340505745,0.3215314264480884,16.35134688089125,0.030398251219443475
37,3.275704946782854,1.0953414175245497,26.321603563096787,0.3036714262432522,19.144155322110414,0.03138996325393568
38,3.879637328783671,1.16388281583786,26.284395472208658,0.2559862305720647,22.748585008035963,0.035163679773330556
39,5.215470370792207,1.2571192752747309,27.987552824474516,0.26545076639879317,27.319736811595483,0.03718175045459726
40,6.209396046750686,1.3645516318433426,29.276521794936237,0.28254368725944967,23.930612678725034,0.03353985850390191
