episode,reward,length,moving_avg_reward,epsilon,success,cumulative_reward,reward_variance,length_variance,best_10_avg_reward,replay_buffer_fullness
62,29.0,29,31.86,0.7328768546436799,0,1884.0,353.94693028095736,353.94693028095736,43.7,0.03768
63,19.0,19,31.98,0.7292124703704616,0,1903.0,350.35424540186443,350.35424540186443,43.7,0.03806
64,108.0,108,33.5,0.7255664080186093,0,2011.0,437.962646484375,437.962646484375,48.9,0.04022
65,56.0,56,34.14,0.7219385759785162,0,2067.0,440.37538461538463,440.37538461538463,52.8,0.04134
66,15.0,15,34.12,0.7183288830986236,0,2082.0,437.9146005509642,437.9146005509642,52.8,0.04164
67,18.0,18,33.66,0.7147372386831305,0,2100.0,434.07618623301397,434.07618623301397,52.8,0.042
68,50.0,50,34.4,0.7111635524897149,0,2150.0,432.7361591695502,432.7361591695502,52.8,0.043
69,80.0,80,35.34,0.7076077347272662,0,2230.0,459.8983406847301,459.8983406847301,52.8,0.0446
70,122.0,122,37.48,0.7040696960536299,0,2352.0,566.5828571428572,566.5828571428572,56.2,0.04704
71,111.0,111,39.2,0.7005493475733617,0,2463.0,641.7913112477682,641.7913112477682,60.8,0.04926
72,95.0,95,40.6,0.697046600835495,0,2558.0,682.6936728395062,682.6936728395062,67.4,0.05116
73,17.0,17,40.68,0.6935613678313175,0,2575.0,677.979733533496,677.979733533496,67.4,0.0515
74,36.0,36,40.32,0.6900935609921609,0,2611.0,668.8248721694669,668.8248721694669,67.4,0.05222
75,11.0,11,40.18,0.6866430931872001,0,2622.0,667.6650666666666,667.6650666666666,67.4,0.05244
76,121.0,121,41.9,0.6832098777212641,0,2743.0,755.0046745152355,755.0046745152355,67.4,0.05486
77,92.0,92,43.2,0.6797938283326578,0,2835.0,785.2656434474617,785.2656434474617,73.5,0.0567
78,191.0,191,46.8,0.6763948591909945,0,3026.0,1076.0604865220248,1076.0604865220248,87.6,0.06052
79,13.0,13,46.58,0.6730128848950395,0,3039.0,1070.7553276718472,1070.7553276718472,87.6,0.06078
80,130.0,130,48.0,0.6696478204705644,0,3169.0,1160.78734375,1160.78734375,87.6,0.06338
81,95.0,95,49.56,0.6662995813682115,0,3264.0,1183.8628257887515,1183.8628257887515,87.6,0.06528
82,96.0,96,51.1,0.6629680834613705,0,3360.0,1206.8042831647829,1206.8042831647829,87.6,0.0672
83,37.0,37,50.98,0.6596532430440636,0,3397.0,1192.4526056031355,1192.4526056031355,87.6,0.06794
84,84.0,84,52.3,0.6563549768288433,0,3481.0,1200.0797902494328,1200.0797902494328,87.6,0.06962
85,47.0,47,53.0,0.653073201944699,0,3528.0,1186.320553633218,1186.320553633218,90.6,0.07056
86,160.0,160,55.68,0.6498078359349755,0,3688.0,1333.8934559221202,1333.8934559221202,94.5,0.07376
87,130.0,130,57.92,0.6465587967553006,0,3818.0,1404.7913859162372,1404.7913859162372,98.3,0.07636
88,27.0,27,58.16,0.6433260027715241,0,3845.0,1392.0308626033059,1392.0308626033059,98.3,0.0769
89,101.0,101,59.76,0.6401093727576664,0,3946.0,1412.8751420275216,1412.8751420275216,98.3,0.07892
90,24.0,24,59.9,0.6369088258938781,0,3970.0,1401.720987654321,1401.720987654321,98.3,0.0794
91,101.0,101,61.4,0.6337242817644086,0,4071.0,1421.49088274363,1421.49088274363,98.3,0.08142
92,15.0,15,60.38,0.6305556603555866,0,4086.0,1415.546786389414,1415.546786389414,98.3,0.08172
93,40.0,40,60.56,0.6274028820538087,0,4126.0,1400.5330095964853,1400.5330095964853,98.3,0.08252
94,21.0,21,58.9,0.6242658676435396,0,4147.0,1391.3799230421005,1391.3799230421005,98.3,0.08294
95,81.0,81,59.98,0.6211445383053219,0,4228.0,1390.9026038781158,1390.9026038781158,98.3,0.08456
96,30.0,30,60.22,0.6180388156137953,0,4258.0,1378.5828993055557,1378.5828993055557,98.3,0.08516
97,98.0,98,61.34,0.6149486215357263,0,4356.0,1393.7336592624083,1393.7336592624083,98.3,0.08712
98,220.0,220,65.18,0.6118738784280476,0,4576.0,1689.1511870054142,1689.1511870054142,98.3,0.09152
99,164.0,164,68.12,0.6088145090359074,0,4740.0,1809.6822773186411,1809.6822773186411,98.3,0.0948
100,14.0,14,68.02,0.6057704364907278,0,4754.0,1802.9484000000002,1802.9484000000002,98.3,0.09508
101,91.0,91,68.32,0.6027415843082742,0,4845.0,1803.612979119694,1803.612979119694,98.3,0.0969
102,22.0,22,68.14,0.5997278763867329,0,4867.0,1792.47798923491,1792.47798923491,98.3,0.09734
103,103.0,103,69.86,0.5967292370047992,0,4970.0,1804.4605523612026,1804.4605523612026,98.3,0.0994
104,18.0,18,69.32,0.5937455908197752,0,4988.0,1795.8254437869823,1795.8254437869823,98.3,0.09976
105,22.0,22,69.42,0.5907768628656763,0,5010.0,1785.0802721088437,1785.0802721088437,98.3,0.1002
106,91.0,91,70.38,0.5878229785513479,0,5101.0,1785.74911000356,1785.74911000356,98.3,0.10202
107,53.0,53,70.06,0.5848838636585911,0,5154.0,1769.280111800157,1769.280111800157,98.3,0.10308
108,111.0,111,71.06,0.5819594443402982,0,5265.0,1789.1134259259259,1789.1134259259259,98.3,0.1053
109,24.0,24,71.16,0.5790496471185967,0,5289.0,1778.2678225738573,1778.2678225738573,98.3,0.10578
110,26.0,26,70.5,0.5761543988830038,0,5315.0,1766.671487603306,1766.671487603306,98.3,0.1063
111,89.0,89,70.98,0.5732736268885887,0,5404.0,1765.5312068825583,1765.5312068825583,98.3,0.10808
112,43.0,43,71.26,0.5704072587541458,0,5447.0,1750.0534917091838,1750.0534917091838,98.3,0.10894
113,140.0,140,73.68,0.567555222460375,0,5587.0,1807.7865142141122,1807.7865142141122,98.3,0.11174
114,74.0,74,73.0,0.5647174463480732,0,5661.0,1797.1724376731304,1797.1724376731304,98.3,0.11322
115,41.0,41,72.7,0.5618938591163328,0,5702.0,1782.1910018903595,1782.1910018903595,98.3,0.11404
116,31.0,31,73.02,0.5590843898207511,0,5733.0,1769.7784631391205,1769.7784631391205,98.3,0.11466
117,13.0,13,72.92,0.5562889678716474,0,5746.0,1765.893637226971,1765.893637226971,98.3,0.11492
118,44.0,44,72.8,0.5535075230322891,0,5790.0,1751.147945992531,1751.147945992531,98.3,0.1158
119,126.0,126,73.72,0.5507399854171277,0,5916.0,1785.7503001200478,1785.7503001200478,98.3,0.11832
120,46.0,46,72.2,0.547986285490042,0,5962.0,1770.9830555555557,1770.9830555555557,98.3,0.11924
121,71.0,71,71.4,0.5452463540625918,0,6033.0,1760.071170002049,1760.071170002049,98.3,0.12066
122,73.0,73,70.96,0.5425201222922789,0,6106.0,1749.9975812953508,1749.9975812953508,98.3,0.12212
123,121.0,121,73.04,0.5398075216808175,0,6227.0,1776.3642012029877,1776.3642012029877,98.3,0.12454
124,160.0,160,75.52,0.5371084840724134,0,6387.0,1857.7338059313215,1857.7338059313215,98.3,0.12774
125,150.0,150,78.3,0.5344229416520513,0,6537.0,1919.8563840000002,1919.8563840000002,98.3,0.13074
126,194.0,194,79.76,0.531750826943791,0,6731.0,2062.719891660369,2062.719891660369,99.8,0.13462
127,322.0,322,84.36,0.5290920728090721,0,7053.0,2609.996775993552,2609.996775993552,130.7,0.14106
128,183.0,183,84.2,0.5264466124450268,0,7236.0,2715.5458984375,2715.5458984375,144.6,0.14472
129,11.0,11,84.16,0.5238143793828016,0,7247.0,2710.4410792620633,2710.4410792620633,144.6,0.14494
130,59.0,59,82.74,0.5211953074858876,0,7306.0,2689.6523076923077,2689.6523076923077,144.6,0.14612
131,167.0,167,84.18,0.5185893309484582,0,7473.0,2762.120039624731,2762.120039624731,144.6,0.14946
132,105.0,105,84.36,0.5159963842937159,0,7578.0,2758.4841597796144,2758.4841597796144,147.2,0.15156
133,164.0,164,86.9,0.5134164023722473,0,7742.0,2822.5271072417886,2822.5271072417886,151.5,0.15484
134,15.0,15,85.52,0.510849320360386,0,7757.0,2815.2934395188245,2815.2934395188245,151.5,0.15514
135,36.0,36,85.3,0.5082950737585841,0,7793.0,2797.9619204389573,2797.9619204389573,151.5,0.15586
136,109.0,109,84.28,0.5057535983897912,0,7902.0,2796.577638408304,2796.577638408304,151.5,0.15804
137,10.0,10,81.88,0.5032248303978422,0,7912.0,2792.9311098087273,2792.9311098087273,151.5,0.15824
138,62.0,62,82.58,0.500708706245853,0,7974.0,2772.822306238186,2772.822306238186,151.5,0.15948
139,119.0,119,82.94,0.4982051627146237,0,8093.0,2779.6409088556493,2779.6409088556493,151.5,0.16186
140,39.0,39,83.24,0.49571413690105054,0,8132.0,2762.40693877551,2762.40693877551,151.5,0.16264
141,44.0,44,82.1,0.4932355662165453,0,8176.0,2744.212564760324,2744.212564760324,151.5,0.16352
142,105.0,105,83.9,0.4907693883854626,0,8281.0,2740.343235469153,2740.343235469153,151.5,0.16562
143,12.0,12,83.34,0.4883155414435353,0,8293.0,2736.0768741747765,2736.0768741747765,151.5,0.16586
144,134.0,134,85.6,0.4858739637363176,0,8427.0,2756.9162326388887,2756.9162326388887,151.5,0.16854
145,11.0,11,84.2,0.483444593917636,0,8438.0,2753.369607609988,2753.369607609988,151.5,0.16876
146,117.0,117,85.94,0.4810273709480478,0,8555.0,2758.0353255770315,2758.0353255770315,151.5,0.1711
147,329.0,329,90.56,0.47862223409330756,0,8884.0,3233.293442547087,3233.293442547087,151.5,0.17768
148,62.0,62,87.4,0.47622912292284103,0,8946.0,3211.4632943754564,3211.4632943754564,151.5,0.17892
149,167.0,167,87.46,0.4738479773082268,0,9113.0,3265.598216296563,3265.598216296563,151.5,0.18226
150,136.0,136,89.9,0.47147873742168567,0,9249.0,3280.917733333334,3280.917733333334,151.5,0.18498
151,190.0,190,91.88,0.46912134373457726,0,9439.0,3367.54791456515,3367.54791456515,151.5,0.18878
152,110.0,110,93.64,0.46677573701590436,0,9549.0,3360.132920706372,3360.132920706372,151.5,0.19098
153,35.0,35,92.28,0.46444185833082485,0,9584.0,3343.19757358281,3343.19757358281,151.5,0.19168
154,97.0,97,93.86,0.46211964903917074,0,9681.0,3329.1047815820543,3329.1047815820543,151.5,0.19362
155,242.0,242,98.26,0.4598090507939749,0,9923.0,3513.3222060353805,3513.3222060353805,151.5,0.19846
156,51.0,51,97.46,0.457510005540005,0,9974.0,3491.880506245891,3491.880506245891,151.5,0.19948
157,48.0,48,97.36,0.45522245551230495,0,10022.0,3471.246460302649,3471.246460302649,151.5,0.20044
158,85.0,85,96.84,0.4529463432347434,0,10107.0,3452.0939352667842,3452.0939352667842,151.5,0.20214
159,13.0,13,96.62,0.4506816115185697,0,10120.0,3446.61809263874,3446.61809263874,151.5,0.2024
160,45.0,45,97.0,0.4484282034609769,0,10165.0,3427.2365234375,3427.2365234375,151.5,0.2033
161,15.0,15,95.52,0.446186062443672,0,10180.0,3420.4875583503717,3420.4875583503717,151.5,0.2036
162,74.0,74,96.14,0.4439551321314536,0,10254.0,3400.085048010974,3400.085048010974,151.5,0.20508
163,113.0,113,95.6,0.4417353564707963,0,10367.0,3394.2888328503145,3394.2888328503145,151.5,0.20734
164,21.0,21,94.54,0.43952667968844233,0,10388.0,3384.590719809637,3384.590719809637,151.5,0.20776
165,17.0,17,94.06,0.43732904629000013,0,10405.0,3377.0145087235996,3377.0145087235996,151.5,0.2081
166,108.0,108,95.6,0.4351424010585501,0,10513.0,3368.7637175206855,3368.7637175206855,151.5,0.21026
167,104.0,104,97.42,0.43296668905325736,0,10617.0,3358.436014199147,3358.436014199147,151.5,0.21234
168,69.0,69,97.92,0.43080185560799106,0,10686.0,3338.619472789115,3338.619472789115,151.5,0.21372
169,13.0,13,95.66,0.4286478463299511,0,10699.0,3333.9289940828403,3333.9289940828403,151.5,0.21398
170,109.0,109,96.92,0.42650460709830135,0,10808.0,3326.526505190312,3326.526505190312,151.5,0.21616
171,13.0,13,95.76,0.42437208406280985,0,10821.0,3321.94459833795,3321.94459833795,151.5,0.21642
172,142.0,142,97.14,0.4222502236424958,0,10963.0,3338.448992698756,3338.448992698756,151.5,0.21926
173,11.0,11,94.94,0.42013897252428334,0,10974.0,3335.1357546192653,3335.1357546192653,151.5,0.21948
174,35.0,35,92.44,0.4180382776616619,0,11009.0,3320.5879574580526,3320.5879574580526,151.5,0.22018
175,109.0,109,91.62,0.4159480862733536,0,11118.0,3313.4947265306128,3313.4947265306128,151.5,0.22236
176,95.0,95,89.64,0.41386834584198684,0,11213.0,3300.2626226756197,3300.2626226756197,151.5,0.22426
177,13.0,13,83.46,0.4117990041127769,0,11226.0,3296.063391745667,3296.063391745667,151.5,0.22452
178,89.0,89,81.58,0.40974000909221303,0,11315.0,3281.200511299079,3281.200511299079,151.5,0.2263
179,26.0,26,81.88,0.40769130904675194,0,11341.0,3270.7101526169586,3270.7101526169586,151.5,0.22682
180,62.0,62,81.94,0.40565285250151817,0,11403.0,3252.549722222222,3252.549722222222,151.5,0.22806
181,244.0,244,83.48,0.4036245882390106,0,11647.0,3413.884374713837,3413.884374713837,151.5,0.23294
182,26.0,26,81.9,0.4016064652978155,0,11673.0,3403.1624501871756,3403.1624501871756,151.5,0.23346
183,100.0,100,80.62,0.3995984329713264,0,11773.0,3391.555555555556,3391.555555555556,151.5,0.23546
184,66.0,66,81.64,0.3976004408064698,0,11839.0,3373.1382029773163,3373.1382029773163,151.5,0.23678
185,22.0,22,81.36,0.39561243860243744,0,11861.0,3364.5438714390066,3364.5438714390066,151.5,0.23722
186,30.0,30,79.78,0.3936343764094253,0,11891.0,3352.677910741126,3352.677910741126,151.5,0.23782
187,45.0,45,80.48,0.39166620452737816,0,11936.0,3336.6552088993108,3336.6552088993108,151.5,0.23872
188,351.0,351,86.26,0.3897078735047413,0,12287.0,3755.2293741512,3755.2293741512,151.5,0.24574
189,193.0,193,87.74,0.3877593341372176,0,12480.0,3821.1101033005793,3821.1101033005793,151.5,0.2496
190,75.0,75,88.46,0.3858205374665315,0,12555.0,3801.420083102493,3801.420083102493,151.5,0.2511
191,111.0,111,89.8,0.38389143477919885,0,12666.0,3792.0269729448214,3792.0269729448214,151.5,0.25332
192,11.0,11,87.92,0.3819719776053028,0,12677.0,3788.12953016493,3788.12953016493,151.5,0.25354
193,284.0,284,93.36,0.3800621177172763,0,12961.0,4013.4058900910086,4013.4058900910086,151.5,0.25922
194,34.0,34,91.36,0.37816180712868996,0,12995.0,3998.3554309703477,3998.3554309703477,151.5,0.2599
195,139.0,139,93.92,0.37627099809304654,0,13134.0,4004.3106903353055,4004.3106903353055,151.5,0.26268
196,302.0,302,97.62,0.3743896431025813,0,13436.0,4263.3596418159095,4263.3596418159095,154.5,0.26872
197,25.0,25,91.54,0.37251769488706843,0,13461.0,4251.29722487052,4251.29722487052,154.5,0.26922
198,260.0,260,95.5,0.3706551064126331,0,13721.0,4414.431410060199,4414.431410060199,154.5,0.27442
199,81.0,81,93.78,0.36880183088056995,0,13802.0,4392.933006742253,4392.933006742253,154.5,0.27604
200,92.0,92,92.9,0.3669578217261671,0,13894.0,4373.5191,4373.5191,154.5,0.27788
201,121.0,121,91.52,0.36512303261753626,0,14015.0,4364.90522511819,4364.90522511819,154.5,0.2803
202,216.0,216,93.64,0.3632974174544486,0,14231.0,4448.693093814332,4448.693093814332,155.4,0.28462
203,146.0,146,95.86,0.3614809303671764,0,14377.0,4454.756727899246,4454.756727899246,155.4,0.28754
204,142.0,142,96.76,0.3596735257153405,0,14519.0,4457.632328911956,4457.632328911956,155.4,0.29038
205,170.0,170,95.32,0.3578751580867638,0,14689.0,4483.299559785843,4483.299559785843,155.5,0.29378
206,24.0,24,94.78,0.35608578229633,0,14713.0,4472.506103308511,4472.506103308511,155.5,0.29426
207,139.0,139,96.6,0.3543053533848483,0,14852.0,4472.854769072791,4472.854769072791,155.5,0.29704
208,215.0,215,99.2,0.35253382661792404,0,15067.0,4549.534555288462,4549.534555288462,155.5,0.30134
209,173.0,173,102.4,0.3507711574848344,0,15240.0,4575.921613516173,4575.921613516173,155.5,0.3048
210,78.0,78,103.06,0.34901730169741024,0,15318.0,4554.25387755102,4554.25387755102,155.5,0.30636
211,69.0,69,104.14,0.3472722151889232,0,15387.0,4532.743065070416,4532.743065070416,155.5,0.30774
212,143.0,143,105.52,0.3455358541129786,0,15530.0,4534.416251334995,4534.416251334995,155.5,0.3106
213,13.0,13,103.52,0.3438081748424137,0,15543.0,4530.09310322026,4530.09310322026,155.5,0.31086
214,136.0,136,105.82,0.3420891339682016,0,15679.0,4527.401017556119,4527.401017556119,155.5,0.31358
215,18.0,18,105.84,0.3403786882983606,0,15697.0,4520.483634396971,4520.483634396971,155.5,0.31394
216,157.0,157,106.82,0.3386767948568688,0,15854.0,4532.063700274348,4532.063700274348,155.5,0.31708
217,149.0,149,107.72,0.33698341088258443,0,16003.0,4537.396589437023,4537.396589437023,155.5,0.32006
218,15.0,15,106.64,0.3352984938281715,0,16018.0,4532.341217069271,4532.341217069271,155.5,0.32036
219,140.0,140,109.18,0.33362200135903064,0,16158.0,4531.760180146369,4531.760180146369,155.5,0.32316
220,150.0,150,110.0,0.33195389135223546,0,16308.0,4537.447438016528,4537.447438016528,155.5,0.32616
221,135.0,135,112.44,0.3302941218954743,0,16443.0,4533.607051452674,4533.607051452674,155.5,0.32886
222,14.0,14,109.88,0.32864265128599696,0,16457.0,4529.545998701403,4529.545998701403,155.5,0.32914
223,25.0,25,110.16,0.326999438029567,0,16482.0,4520.009893623439,4520.009893623439,155.5,0.32964
224,138.0,138,112.22,0.3253644408394192,0,16620.0,4518.086415816327,4518.086415816327,155.5,0.3324
225,73.0,73,111.5,0.3237376186352221,0,16693.0,4498.012365432098,4498.012365432098,155.5,0.33386
226,164.0,164,112.88,0.322118930542046,0,16857.0,4513.640398621662,4513.640398621662,155.5,0.33714
227,166.0,166,115.94,0.32050833588933575,0,17023.0,4530.405208717421,4530.405208717421,155.5,0.34046
228,156.0,156,117.28,0.31890579420988907,0,17179.0,4539.191347337643,4539.191347337643,155.5,0.34358
229,149.0,149,119.74,0.3173112652388396,0,17328.0,4542.95535935623,4542.95535935623,155.5,0.34656
230,182.0,182,122.14,0.3157247089126454,0,17510.0,4572.1482041587915,4572.1482041587915,155.5,0.3502
231,142.0,142,120.1,0.3141460853680822,0,17652.0,4571.0567268229615,4571.0567268229615,155.5,0.35304
232,154.0,154,122.66,0.3125753549412418,0,17806.0,4577.1875,4577.1875,155.5,0.35612
233,82.0,82,122.3,0.31101247816653554,0,17888.0,4557.660704746819,4557.660704746819,155.5,0.35776
234,165.0,165,124.28,0.30945741577570285,0,18053.0,4571.30668785156,4571.30668785156,155.5,0.36106
235,144.0,144,126.72,0.3079101286968243,0,18197.0,4570.790330466273,4570.790330466273,155.5,0.36394
236,138.0,138,128.88,0.3063705780533402,0,18335.0,4566.900082591209,4566.900082591209,155.5,0.3667
237,163.0,163,131.24,0.30483872516307353,0,18498.0,4578.208406772419,4578.208406772419,155.5,0.36996
238,11.0,11,124.44,0.3033145315372582,0,18509.0,4577.7827307393545,4577.7827307393545,155.5,0.37018
239,153.0,153,123.64,0.3017979588795719,0,18662.0,4582.210570543232,4582.210570543232,155.5,0.37324
240,13.0,13,122.4,0.30028896908517405,0,18675.0,4580.694010416667,4580.694010416667,155.5,0.3735
241,129.0,129,122.76,0.2987875242397482,0,18804.0,4572.513902997538,4572.513902997538,155.5,0.37608
242,158.0,158,125.7,0.29729358661854943,0,18962.0,4579.939826514583,4579.939826514583,155.5,0.37924
243,151.0,151,123.04,0.29580711868545667,0,19113.0,4582.720012193263,4582.720012193263,155.5,0.38226
244,144.0,144,125.24,0.2943280830920294,0,19257.0,4581.366887261488,4581.366887261488,155.5,0.38514
245,144.0,144,125.34,0.29285644267656924,0,19401.0,4579.883115368597,4579.883115368597,155.5,0.38802
246,16.0,16,119.62,0.2913921604631864,0,19417.0,4577.4301837530575,4577.4301837530575,155.5,0.38834
247,147.0,147,122.06,0.28993519966087045,0,19564.0,4577.580848727236,4577.580848727236,155.5,0.39128
248,145.0,145,119.76,0.2884855236625661,0,19709.0,4576.507267819979,4576.507267819979,155.5,0.39418
249,157.0,157,121.28,0.28704309604425327,0,19866.0,4582.169835970387,4582.169835970387,155.5,0.39732
250,177.0,177,122.98,0.285607880564032,0,20043.0,4601.4944160000005,4601.4944160000005,155.5,0.40086
251,141.0,141,123.38,0.28417984116121187,0,20184.0,4597.844256440374,4597.844256440374,155.5,0.40368
252,21.0,21,119.48,0.2827589419554058,0,20205.0,4593.551445578231,4593.551445578231,155.5,0.4041
253,150.0,150,119.56,0.28134514724562876,0,20355.0,4594.587854832914,4594.587854832914,155.5,0.4071
254,168.0,168,120.08,0.2799384215094006,0,20523.0,4606.554172608346,4606.554172608346,155.5,0.41046
255,19.0,19,117.06,0.27853872940185365,0,20542.0,4603.407550941945,4603.407550941945,155.5,0.41084
256,154.0,154,119.66,0.27714603575484437,0,20696.0,4606.4130859375,4606.4130859375,155.5,0.41392
257,146.0,146,119.8,0.2757603055760701,0,20842.0,4604.943844721343,4604.943844721343,155.5,0.41684
258,67.0,67,116.84,0.2743815040481898,0,20909.0,4587.86252328586,4587.86252328586,155.5,0.41818
259,157.0,157,116.52,0.2730095965279488,0,21066.0,4592.338903713421,4592.338903713421,155.5,0.42132
